01775b0d7f3d	no
042894f00bb4	no
042a5702524d	no
0f325e162e09	no
107398112a28	no
10da33c58b0e	yes
159ff056fcc2	no
25c78013e86e	no
29ca92e1a0c0	no
2daf87334fc4	yes
2dbbbebbf2ed	no
2fc96cc0bd90	no
3934e0184489	no
39bc7f6d7377	yes
3dafaea1d7e1	yes
418c1b0df2cf	yes
442a01487249	no
46344cf91aad	yes
470cd140509f	yes
4d5d032b3581	no
55536da54595	no
55dbbbf1269d	no
57d917a7fa81	no
593b83d01809	no
5992563599f2	no
5c09196a3c3e	no
5e1e8b2d4faa	no
5e6ce41bed13	no
6564fd6361ca	no
673b6ea478f0	no
775e4df79c9e	no
77622976e6ad	yes
776823e35039	no
7c5ce8bcc285	no
80fad22bfeaf	yes
82a2592cf27a	no
8661d214f2d2	no
9b336683a5d3	no
9ddc4a6755c4	no
ad179b02353d	no
bcd6c066c5c8	no
c57da352c2df	no
cad2fee69954	no
cc20adfe8424	no
cda9354588a4	no
d3967ba4e37f	no
e3ff96ce51f9	no
ece50a3112a1	yes
f0d4592ca7f5	no
f55b7b29eced	no
f826bb7f1377	yes
